abandon,abandonment
intercede,intercession
intercommunicate,intercommunication
interconnect,interconnection
intervene,interdiction
interdict,interdiction
benefit,interest
yield,interest
interest,interest
interfere,interference
interject,interjection
intermarry,intermarriage
inter,interment
compete,international
internationalize,internationalization
confine,internment
intern,internment
interpellate,interpellation
interpolate,interpolation
interpose,interposition
interpret,interpretation
interrelate,interrelation
interrogate,interrogation
interrupt,interruption
intersect,intersection
intervene,intervention
interview,interview
intimate,intimation
intimidate,intimidation
intone,intonation
inspire,intoxication
intoxicate,intoxication
introduce,introduction
introspect,introspection
introvert,introversion
intrude,intrusion
intuit,intuition
inundate,inundation
invalidate,invalidation
invade,invasion
invent,invention
invert,inversion
investigate,investigation
invest,investing
invest,investment
compete,invitational
invite,invitational
invoice,invoicing
involve,involution
involve,involvement
ionize,ionization
irradiate,irradiation
irrigate,irrigation
isolate,isolation
issue,issuance
issue,issue
issue,issuing
recur,iteration
iterate,iteration
schedule,itinerary
jab,jab
jabber,jabber
jam,jam
block,jamming
jam,jamming
travel,jaunt
jaunt,jaunt
jawbone,jawboning
joke,jest
worry,jitters
jockey,jockeying
joint,jointure
joke,joke
jolt,jolt
report,journalism
travel,journey
journey,journey
judge,judge
judge,judgement
award,judgment
judge,judgment
anticipate,jump
jump,jump
adjoin,junction
travel,junket
junket,junket
dominate,jurisdiction
judge,justice
justify,justification
juxtapose,juxtaposition
kidnap,kidnapping
succeed,killing
kill,killing
fund,kitty
knock,knock
twist,knot
know,know-how
know,knowledge
label,label
labor,labor
lacerate,laceration
lack,lack
differ,lag
lag,lagging
lament,lament
lament,lamentation
land,landing
landscape,landscaping
word,language
lapse,lapse
laugh,laugh
launch,launch
launch,launching
launder,laundering
rule,law
sue,lawsuit
lay,laying
mimic,lead
lead,lead
leak,leakage
leap,leap
lease,lease
lease,leasing
leave,leave
leave,leaving
lecture,lecture
gain,leg
stabilize,leg
inherit,legacy
legalize,legalization
apply,legislation
legislate,legislation
lend,lending
wound,lesion
teach,lesson
level,leveling
leverage,leverage
levitate,levitation
levy,levy
fine,liability
damage,liability
connect,liaison
libel,libel
liberalize,liberalization
liberate,liberation
license,license
license,licensing
limit,lid
assist,lieutenant
live,life
lift,lift
repeal,lifting
lift,lifting
permit,light
inform,light
light,lighting
limit,limit
limit,limitation
compare,line
divide,line
select,line-up
link,link
link,linkage
link,linking
liquidate,liquidation
listen,listening
list,listing
sue,litigant
sue,litigation
litigate,litigation
loan,loan
loathe,loathing
lobby,lobbying
localize,localization
locate,location
lock,lock
hold,lockhold
synchronize,lockstep
say,locution
lodge,lodgement
name,logo
lounge,loitering
loiter,loitering
jump,long-jump
last,longevity
long,longing
loot,looting
love,love
lubricate,lubrication
pause,lull
lunch,lunch
lure,lure
luxuriate,luxuriance
machinate,machination
magnetize,magnetization
magnify,magnification
mail,mail
mail,mailing
maintain,maintainence
maintain,maintenance
make,making
crash,malfunction
malfunction,malfunction
abuse,malnourishment
abuse,malnutrition
maltreat,maltreatment
manage,management
manage,managing
mandate,mandate
maneuver,maneuver
maneuver,maneuvering
obsess,mania
manifest,manifestation
declare,manifesto
manipulate,manipulation
behave,manner
manufacture,manufacture
manufacture,manufacturing
manumit,manumission
map,map
map,mapping
progress,march
rally,march
march,march
differ,margin
margin,margining
target,mark
decrease,markdown
sell,market
market,marketability
market,marketing
market,marketization
marry,marriage
murder,massacre
massacre,massacre
massage,massage
invent,mastermind
invent,masterminding
mastermind,masterminding
masticate,mastication
masturbate,masturbation
compete,match
match,matching
materialize,materialization
matriculate,matriculation
mature,maturation
mature,maturity
rule,maxim
maximize,maximization
limit,maximum
mean,meaning
attempt,measure
measure,measure
measure,measurement
mechanize,mechanization
mediate,mediation
treat,medication
medicate,medication
meditate,meditation
meet,meet
meet,meeting
meld,melding
meliorate,melioration
melt,meltdown
melt,melting
enroll,membership
communicate,memo
communicate,memorandum
commemorate,memory
threaten,menace
menace,menace
menstruate,menstruation
mention,mention
merge,merging
merit,merit
mesmerize,mesmerism
mess,mess
send,message
migrate,migration
commemorate,millennium
mimic,mimicry
destroy,mincemeat
know,mind
mine,mine
miniaturize,miniaturization
limit,minimum
mine,mining
mirror,mirroring
experience,misadventure
misapply,misapplication
misapprehend,misapprehension
misappropriate,misappropriation
misbehave,misbehavior
miscalculate,miscalculation
miscarry,miscarriage
err,misconception
misconceive,misconception
misdirect,misdirection
misgovern,misgovernment
mishandle,mishandling
misinform,misinformation
misinterpret,misinterpretation
judge,misjudgment
misjudge,misjudgment
manage,mismanagement
mismanage,mismanagement
match,mismatch
mismatch,mismatch
measure,mismeasurement
believe,misperception
quote,misquotation
misquote,misquotation
misrepresent,misrepresentation
try,mission
misstate,misstatement
mistranslate,mistranslation
trust,mistrust
mistrust,mistrust
misunderstand,misunderstanding
misuse,misuse
mitigate,mitigation
mix,mix
mix,mixture
mob,mob
mobilize,mobilization
model,modeling
model,modelling
modernize,modernization
modify,modification
modulate,modulation
molest,molestation
mollify,mollification
monetize,monetization
name,moniker
monitor,monitoring
monopolize,monopolization
monopolize,monopoly
commemorate,monument
moonlight,moonlighting
clean,mop-up
kill,mortality
mortgage,mortgage
mortify,mortification
deactivate,mothballing
mothball,mothballing
motivate,motivation
desire,motive
move,move
move,movement
mulch,mulching
group,multiple
multiply,multiple
multiply,multiplication
mummify,mummification
munition,munition
murder,murder
approve,muster
mutate,mutation
mutilate,mutilation
rebel,mutiny
know,mystery
mystify,mystification
nag,nagging
name,naming
narrate,narration
narrow,narrowing
nationalize,nationalization
naturalize,naturalization
navigate,navigation
need,necessity
die,necrosis
need,need
neglect,neglect
neglect,negligence
negotiate,negotiating
negotiate,negotiation
worry,nerve
network,networking
neutralize,neutralization
nod,nod
sound,noise
nominate,nomination
normalize,normalization
long,nostalgia
notice,note
remark,note
warn,notice
write,notice
notice,notice
notify,notification
nourish,nourishment
annoy,nuisance
nullify,nullification
nurse,nursing
feed,nutrition
promise,oath
obey,obedience
obfuscate,obfuscation
try,object
object,objection
try,objective
oblige,obligation
obliterate,obliteration
disappear,oblivion
abide,observance
observe,observance
observe,observation
observe,observing
obsess,obsession
bar,obstacle
obstruct,obstruction
obstruct,obstructionism
occasion,occasion
occupy,occupancy
occur,occurrence
conflict,odds
offend,offense
attack,offensive
offer,offering
forecast,omen
omit,omission
begin,onset
attack,onslaught
burden,onus
open,open
open,opening
operate,operating
judge,opinion
exploit,opportuning
harass,oppression
oppress,oppression
optimize,optimization
orate,oration
orate,oratory
orchestrate,orchestration
experience,ordeal
regulate,ordinance
organize,organizing
originate,origin
originate,origination
ornament,ornamentation
oscillate,oscillation
ossify,ossification
ostracize,ostracism
oust,ouster
yell,outburst
result,outcome
outlaw,outlawry
allocate,outlay
outline,outline
predict,outlook
outrage,outrage
start,outset
applaud,ovation
overbuild,overbuilding
charge,overcharge
overcharge,overcharge
depend,overdependence
overexert,overexertion
overexpose,overexposure
overextend,overextension
increase,overhang
overhaul,overhaul
cost,overhead
overindulge,overindulgence
overlay,overlay
overpay,overpayment
make,overproduction
overproduce,overproduction
react,overreaction
overrun,overrun
err,oversight
oversee,oversight
overspend,overspending
overstate,overstatement
supply,oversupply
invite,overture
overuse,overuse
own,ownership
oxidize,oxidation
oxidize,oxidization
pace,pace
pacify,pacification
pace,pacing
package,packaging
agree,pact
harm,pain
paint,painting
taste,palate
pall,pall
palliate,palliation
palpitate,palpitation
feel,pang
panic,panic
parallel,parallel
parallel,parallelism
paralyze,paralysis
pardon,pardon
park,parking
parody,parody
participate,part
partition,partition
cooperate,partnership
celebrate,party
throw,pass
flirt,pass
pass,pass
pass,passage
journey,passageway
pass,passing
desire,passion
permit,password
pasteurize,pasteurization
combine,patchwork
patent,patent
journey,pathway
patrol,patrol
patrol,patrolling
patter,patter
pauperize,pauperization
concern,pause
pay,pay
award,paycheck
pay,payment
pay,payroll
pacify,peacekeeping
peak,peak
peal,peal
peculate,peculation
peek,peek
penalize,penalization
sentence,penalty
penetrate,penetration
award,pennant
earn,pension
pension off,pension
perambulate,perambulation
believe,perception
perceive,perception
perceive,perceptiveness
perfect,perfecting
perforate,perforation
perform,performance
imperil,peril
lie,perjury
perjure,perjury
benefit,perk
permeate,permeation
permit,permission
permute,permutation
perpetrate,perpetration
perpetuate,perpetuation
persecute,persecution
persevere,perseverance
persist,persistence
personate,personation
embody,personification
personify,personification
opine,perspective
perspire,perspiration
opine,persuasion
persuade,persuasion
perturb,perturbation
peruse,perusal
pervade,pervasion
contaminate,perversion
pervert,perversion
petition,petition
pronounce,phrase
picture,picture
pilfer,pilferage
travel,pilgrimage
pin,pinning
supply,pipeline
pirate,piracy
pitch,pitch
pity,pity
enact,place
occur,place
rank,place
replace,place
place,placement
place,placing
plagiarize,plagiarism
sue,plaint
plan,plan
plan,planning
plant,planting
level,plateau
cover,play
factor,play
play,play
play,playing
compete,playoff
answer,plea
appeal,plea
please,pleasure
plot,plot
plan,ploy
stop,plug
plug,plug
plummet,plummet
plunge,plunge
plunge,plunging
advise,pointer
polarize,polarization
polish,polishing
poll,poll
pollinate,pollination
poll,polling
pollute,pollution
popularize,popularization
invest,portfolio
portion,portion
portray,portrayal
position,position
position,positioning
post,posting
posture,posture
powder,powder
celebrate,powwow
practice,practicing
praise,praise
talk,prattle
prattle,prattle
pre-empt,pre-emption
pre-exist,pre-existence
prearrange,prearrangement
prepare,precaution
caution,precaution
precede,precedence
rule,precedent
precede,precession
precipitate,precipitation
clear,preclearance
preclude,preclusion
require,precondition
predestinate,predestination
predetermine,predetermination
predict,prediction
prefer,predilection
predispose,predisposition
predominate,predominance
prefabricate,prefabrication
preface,preface
prefer,preference
prefer,preferment
prejudge,prejudgement
prejudice,prejudice
compete,preliminary
premeditate,premeditation
premiere,premiere
assume,premise
premise,premise
preoccupy,preoccupation
prepay,prepayment
preponderate,preponderance
prepossess,prepossession
require,prerequisite
exist,presence
present,present
present,presentation
present,presenting
preserve,preservation
pressure,pressure
press,pressure
presume,presumption
presuppose,presupposition
pretend,pretense
pretend,pretension
justify,pretext
prevail,prevalance
prevaricate,prevarication
prevent,prevention
preview,preview
price,price
price,pricing
compete,primary
rule,principle
print,printing
privatize,privatization
award,prize
punish,probation
probate,probation
struggle,problem
sue,proceeding
proceed,proceeding
earn,proceeds
process,processing
parade,procession
proclaim,proclamation
fool,procrastination
procrastinate,procrastination
procreate,procreation
procure,procurement
prod,prodding
profane,profanation
profile,profile
earn,profit
profit,profit
profit,profitability
prognosticate,prognostication
program,programming
broadcast,programming
programme,programming
progress,progress
progress,progression
project,projection
proliferate,proliferation
prolong,prolongation
promise,promise
promote,promotion
promulgate,promulgation
pronounce,pronouncement
pronounce,pronunciation
prove,proof
propagate,propagation
propel,propellant
possess,property
predict,prophecy
propitiate,propitiation
proportion,proportion
propose,proposal
propose,proposing
propose,proposition
own,proprietorship
prorogue,prorogation
proscribe,proscription
prospect,prospecting
prosper,prosperity
prostitute,prostitution
prostrate,prostration
protect,protection
protect,protectionism
protest,protest
protest,protestation
guide,protocol
protract,protraction
protrude,protrusion
amend,proviso
provoke,provocation
search,prowl
prowl,prowl
compete,proximity
publish,publication
publish,publishing
pulsate,pulsation
pummel,pummeling
pump,pumping
punch,punching
punctuate,punctuation
punish,punishment
purchase,purchasing
purge,purgation
purify,purification
justify,purpose
pursue,pursuance
pursue,pursuing
pursue,pursuit
purvey,purveyance
push,push
puzzle,puzzlement
quadruple,quadrupling
qualify,qualification
qualify,qualifying
quantify,quantification
quarantine,quarantine
quarrel,quarrel
mine,quarry
commemorate,quatercentenary
commemorate,quatercentennial
query,query
attempt,quest
search,quest
quest,quest
question,question
queue,queue
commemorate,quincentenary
commemorate,quincentennial
quip,quip
quote,quotation
quote,quote
race,race
radiate,radiance
emit,radiation
radiate,radiation
radiopasteurize,radiopasteurization
rage,rage
raid,raid
rail,raillery
journey,railroad
rain,rain
advance,raise
raise,raise
raise,raising
rally,rally
cause,ramification
ramify,ramification
travel,rampage
rampage,rampage
range,range
agree,rank
rank,rank
rank,ranking
ransom,ransom
blame,rap
rap,rap
rape,rape
reconcile,rapprochement
ratify,ratification
rate,rating
compare,ratio
explain,rationale
rationalize,rationalization
ravage,ravage
ravish,ravishment
re-elect,re-election
re-enact,re-enactment
re-enter,re-entry
re-form,re-formation
reach,reach
reach,reaching
react,reaction
read,reading
adjust,readjustment
readjust,readjustment
readmit,readmission
realign,realignment
realize,realization
reappear,reappearance
reappraise,reappraisal
rear,rearing
rearm,rearmament
rearrange,rearrangement
motivate,reason
reason,reasoning
reassess,reassessment
reassign,reassignment
reassure,reassurance
authorize,reauthorization
reauthorize,reauthorization
discount,rebate
rebate,rebate
rebel,rebellion
bear,rebirth
rebound,rebound
rebuff,rebuff
rebut,rebuttal
recalculate,recalculation
recall,recall
recant,recantation
recapitalize,recapitalization
recapitulate,recapitulation
receive,receipt
mortgage,receivership
celebrate,reception
accept,reception
receive,reception
recess,recession
reciprocate,reciprocation
recite,recitation
reckon,reckoning
recognize,recognition
recognize,recognizance
remember,recollection
recollect,recollection
combine,recombination
recombine,recombination
reconcile,reconciliation
reconnoiter,reconnaissance
reconsider,reconsideration
designate,record
record,recording
access,recourse
recover,recovery
recreate,recreation
recriminate,recrimination
recruit,recruiting
recruit,recruitment
rectify,rectification
recover,recuperation
recuperate,recuperation
recur,recurrence
recycle,recycling
redact,redaction
redefine,redefinition
redeploy,redeployment
redevelop,redevelopment
rediscover,rediscovery
redistribute,redistribution
redistribute,redistributionism
reduce,reduction
reduplicate,reduplication
reevaluate,reevaluation
refer,reference
refer,referral
refinance,refinancing
refine,refinement
refine,refining
reflate,reflation
refocus,refocusing
reforest,reforestation
reform,reform
reform,reformation
reformulate,reformulation
refract,refraction
refresh,refreshment
refrigerate,refrigeration
escape,refuge
refund,refund
refund,refunding
refurbish,refurbishing
refurbish,refurbishment
refuse,refusal
refute,refutation
regard,regard
regenerate,regeneration
govern,regime
train,regimentation
regiment,regimentation
register,registry
regress,regression
regret,regret
regularize,regularization
regulate,regulation
rehabilitate,rehabilitation
rehear,rehearing
rehearse,rehearsal
reign,reign
reimburse,reimbursement
reincarnate,reincarnation
reinstate,reinstatement
insure,reinsurance
reinsure,reinsurance
reinterpret,reinterpretation
reinvest,reinvestment
reiterate,reiteration
reject,rejection
rejuvenate,rejuvenation
relate,relation
relate,relationship
relay,relay
release,release
relegate,relegation
rely,reliance
relieve,relief
relinquish,relinquishment
relish,relish
relocate,relocation
remain,remain
remark,remark
market,remarketing
remarket,remarketing
remarry,remarriage
compete,rematch
remedy,remedy
remilitarize,remilitarization
reminisce,reminiscence
remit,remission
repay,remittance
remit,remittance
remodel,remodeling
remonstrate,remonstrance
remove,removal
remunerate,remuneration
exist,renaissance
render,rendering
rendezvous,rendezvous
renegotiate,renegotiation
renew,renewal
renovate,renovation
know,renown
rent,rent
renounce,renunciation
reopen,reopening
rearrange,reordering
reorder,reordering
reorganize,reorganization
reorientate,reorientation
repute,rep
repair,repair
repatriate,repatriation
repeal,repeal
recur,repeat
repeat,repeat
repent,repentance
recur,repetition
repeat,repetition
recur,replay
replay,replay
replenish,replenishment
report,reportage
report,reporting
reposition,repositioning
represent,representation
conquer,repression
repress,repression
relieve,reprieve
reprieve,reprieve
reprobate,reprobation
reprove,reproval
repudiate,repudiation
repel,repulsion
repurchase,repurchase
repute,reputation
request,request
requisition,requisition
requite,requital
occur,rerun
rerun,rerun
sell,resale
rescind,rescission
rescue,rescue
research,research
research,researching
resemble,resemblance
resent,resentment
reserve,reservation
resettle,resettlement
reshuffle,reshuffle
reshuffle,reshuffling
reside,residence
resign,resignation
resist,resistance
resolve,resolution
resolve,resolve
resonate,resonance
supply,resource
respect,respect
respect,respectability
respire,respiration
respond,response
restate,restatement
restore,restitution
restitute,restitution
restore,restoration
restrain,restraint
restrict,restriction
restructure,restructuring
result,result
resume,resumption
exist,resurgence
resurrect,resurrection
resuscitate,resuscitation
retail,retailing
pay,retainer
retaliate,retaliation
retard,retardation
retain,retention
rethink,rethink
reticulate,reticulation
retire,retirement
reply,retort
retract,retraction
retreat,retreat
retrench,retrenchment
retaliate,retribution
retrieve,retrieval
retrogress,retrogression
yield,return
exchange,return
return,return
unify,reunification
reunify,reunification
reunite,reunion
revaluate,revaluation
revamp,revamping
revel,revel
reveal,revelation
revel,revelry
avenge,revenge
earn,revenue
reverberate,reverberation
respect,reverence
revere,reverence
reverse,reversion
revise,revision
revitalize,revitalization
revive,revival
change,revolution
rebel,revolution
revolt,revolution
reward,reward
rewrite,rewrite
earn,rich
rid,riddance
ride,ride
ridicule,ridicule
rifle,rifle
disagree,rift
disturb,riot
combine,riot
riot,riot
ripple,ripple
rise,rise
risk,risk
celebrate,rite
act,ritual
rival,rivalry
travel,road
bar,roadblock
travel,roadway
roar,roar
rob,robbery
move,roll
succeed,roll
roll,roll
love,romance
originate,root
rope,rope
rotate,rotation
compete,rout
decrease,rout
rout,rout
travel,route
rout,routing
earn,royalty
ruin,ruination
rule,rule
rumor,rumbling
rumble,rumbling
ruminate,rumination
rumor,rumor
run,run
score,run
escape,run
quarrel,run-in
list,rundown
win,runner-up
rush,rush
sabotage,sabotage
sack,sack
sack,sacking
sacrifice,sacrifice
safeguard,safeguard
protect,safekeeping
sail,sailing
help,sake
earn,salary
sell,sale
salute,salutation
salute,salute
salvage,salvage
save,salvation
act,salvo
sanctify,sanctification
sanction,sanction
sandwich,sandwich
saturate,saturation
savage,savagery
save,saving
savor,savor
choose,say
say,saying
scale,scaling
trick,scam
scam,scam
blame,scapegoating
scare,scare
smell,scent
schedule,schedule
schedule,scheduling
plan,scheme
scheme,scheme
study,scholarship
scintillate,scintillation
score,score
score,scorecard
scorn,scorn
plague,scourge
scramble,scramble
encounter,scrape
scrap,scrapping
screen,screening
scrutinize,scrutiny
sculpt,sculpture
flow,sea
seal,seal
search,search
position,seat
secede,secession
isolate,seclusion
seclude,seclusion
hide,secret
secrete,secretion
contract,security
secure,security
sedate,sedation
seduce,seduction
segment,segment
segment,segmentation
besiege,seige
seize,seizure
sell,sell
sell,selling
appear,semblance
teach,seminar
trend,sensation
sense,sensation
appear,sense
mean,sense
sensitize,sensitization
sentence,sentence
sentence,sentencing
feel,sentiment
opine,sentiment
separate,separation
sequester,sequester
sequestrate,sequestration
celebrate,service
service,servicing
serve,serving
meet,session
bar,setback
set,setting
settle,settlement
settle,settling
sever,severance
fuck,sex
repeat,shade
shadow,shadow
spy,shadow
agree,shake
shake,shake
disrupt,shakeout
wreck,shambles
shame,shame
shape,shape
own,shareholding
share,sharing
shed,shedding
shield,shield
shift,shift
ship,shipment
ship,shipping
shiver,shiver
shock,shock
shoot,shoot
shoot,shooting
shop,shopping
stretch,shortcut
decrease,shortfall
decide,shot
inject,shot
appear,shot
attempt,shot
chance,shot
hit,shot
criticize,shot
reject,shoulder
shout,shouting
broadcast,show
display,showcase
shower,shower
show,showing
shriek,shriek
shrink,shrinkage
shuffle,shuffle
shuttle,shuttle
ally,side
sigh,sigh
see,sight
see,sighting
sight,sighting
vacation,sightseeing
signal,sign
sign,sign
signal,signal
originate,signature
sign,signature
signify,signification
sign,signing
differ,similarity
simplify,simplification
simulate,simulation
sin,sin
compete,single
sink,sinking
sit,sitting
situate,situation
sketch,sketch
skid,skid
feud,skirmish
skirmish,skirmish
slap,slap
slap,slapping
slash,slash
slash,slashing
slaughter,slaughter
control,slavery
enslave,slavery
slay,slaying
advance,sledding
sleep,sleep
slice,slicing
slide,slide
slip,slip
slip,slippage
position,slot
slot,slot
slow,slowing
slump,slump
disparage,slur
slur,slur
smelt,smelting
smile,smile
smoke,smoke
smoke,smoking
snake,snaking
snicker,snicker
socialize,socialization
soften,softening
console,solace
solace,solace
solemnize,solemnization
solicit,solicitation
sympathize,solicitude
sympathize,solidarity
solidify,solidification
mix,solution
solve,solution
sort,sort
sound,sound
sound,sounding
sour,souring
remind,souvenir
span,span
hit,spanking
sparkle,sparkle
change,spasm
occur,spasm
spasm,spasm
discount,special
specialize,specialism
specialize,specialization
specialize,specialty
specify,specification
frighten,specter
speculate,speculating
speculate,speculation
speak,speech
speed,speeding
experience,spell
spell,spelling
spend,spending
enhance,spice
spill,spill
spill,spillage
spin,spinning
spiral,spiral
spiritualize,spiritualization
split,split
sponsor,sponsorship
differ,spread
spread,spread
spring,springing
spur,spur
spurt,spurt
argue,squabble
squabble,squabble
argue,squabbling
squabble,squabbling
squeeze,squeeze
attempt,stab
stabilize,stabilization
stage,staging
stagnate,stagnation
travel,stair
portion,stake
hurry,stampede
stampede,stampede
insist,stance
insist,stand
testify,stand
substitute,stand
measure,standard
standardize,standardization
rank,standing
differ,standoff
halt,standstill
need,staple
start,start
starve,starvation
state,statement
station,station
analyze,statistic
analyze,statistics
rule,statute
stay,stay
quicken,steam
steer,steerage
steer,steering
compare,step
step,step
classify,stereotype
classify,stereotype
stereotype,stereotype
sterilize,sterilization
lead,stewardship
stir,stimulation
stimulate,stimulation
stink,stink
pay,stipend
stipulate,stipulation
stir,stirring
possess,stock
trust,stock
hold,stockholding
stock,stocking
stockpile,stockpile
stomach,stomach
stooge,stooge
stop,stop
cure,stopgap
stop,stoppage
store,storage
happen,store
store,store
store,storing
tell,storytelling
strain,strain
strategize,strategizing
stratify,stratification
flow,stream
streamline,streamlining
base,strength
strengthen,strengthening
worry,stress
stress,stress
stretch,stretch
stridulate,stridulation
disagree,strife
strike,strike
condition,string
stroke,stroke
structure,structuring
struggle,struggle
study,study
stultify,stultification
stumble,stumble
do,stunt
stylize,stylization
subject,subject
subject,subjection
subjugate,subjugation
license,sublicense
sublimate,sublimation
submerge,submergence
subordinate,subordination
suborn,subornation
subpoena,subpoena
subscribe,subscription
subside,subsidence
subsidize,subsidization
subsidize,subsidy
subsist,subsistence
substantiate,substantiation
substitute,substitution
subtract,subtraction
subvert,subversion
succeed,succession
suffer,sufferance
suffer,suffering
suffocate,suffocation
suffuse,suffusion
sugar,sugar
suggest,suggestion
destroy,suicide
copy,suit
sue,suit
summarize,summary
sum,summation
meet,summit
superannuate,superannuation
superintend,superintendence
supersede,supersession
supervise,supervision
supplicate,supplication
supply,supply
suppose,supposition
insert,suppository
suppress,suppression
suppurate,suppuration
surge,surge
treat,surgery
increase,surplus
surprise,surprise
substitute,surrogate
surround,surroundings
tax,surtax
surtax,surtax
survey,surveillance
survive,survival
suspend,suspense
suspend,suspension
suspect,suspicion
sustain,sustainability
sustain,sustenance
swap,swap
swap,swapping
hit,swat
swat,swat
sway,sway
sway,swaying
appoint,swearing
swear,swearing
appoint,swearing-in
sweep,sweep
sweeten,sweetening
swell,swell
drink,swig
swig,swig
swing,swing
swirl,swirl
switch,switch
sway,swoon
swoon,swoon
syllabicate,syllabication
syllabify,syllabification
symbolize,symbol
symbolize,symbolism
symbolize,symbolization
sympathize,sympathy
synchronize,sync
synchronize,synchronization
syncopate,syncopation
syndicate,syndication
cooperate,synergy
synthesize,synthesis
systematize,systematization
bill,tab
watch,tab
succeed,table
ban,taboo
tabulate,tabulation
tag,tag
descend,tailspin
taint,taint
earn,take
take,taking
talk,talk
tally,tally
cooperate,tandem
tape,tape
combine,tapestry
tape,taping
target,target
tax,tariff
taste,taste
taunt,taunting
tax,tax
tax,taxation
teach,teaching
broadcast,telecast
telecast,telecast
confer,teleconference
send,telegram
telegraph,telegraph
televise,televising
temper,temperance
tend,tendency
offer,tender
assume,tenet
argue,tension
tense,tension
employ,tenure
commemorate,tercentenary
commemorate,tercentennial
last,term
agree,term
understand,term
signify,term
terminate,termination
fear,terror
attack,terrorism
terrorize,terrorism
test,test
testify,testimonial
test,testing
thank,thank
thaw,thaw
steal,theft
thieve,theft
treat,therapy
steal,thief
thieve,thievery
think,thinking
desire,thirst
thirst,thirst
think,thought
control,thrall
threaten,threat
thrill,thrill
thrust,thrust
violate,ticket
price,ticket
admit,ticket
trend,tide
tie,tie
tighten,tightening
tilt,tilt
cultivate,tilth
till,tilth
multiply,time
wait,time
schedule,timetable
time,timing
tinge,tinge
tinker,tinkering
tip,tip
titillate,titillation
award,title
toast,toast
begin,toehold
toil,toiling
tolerate,tolerance
tolerate,toleration
tally,toll
tax,toll
prepare,tooling
tool,tooling
total,total
touch,touch
contact,touch
tour,tour
tour,tourism
compete,tournament
appear,trace
record,track
travel,track
watch,track
track,tracking
trade,trade
patent,trademark
trademark,trademark
trade,trading
deal,traffic
traffic,traffic
deal,trafficking
train,training
transcend,transcendence
transcribe,transcript
transcribe,transcription
transfer,transfer
transfer,transference
transfigure,transfiguration
transform,transformation
transfuse,transfusion
transgress,transgression
transform,transition
translate,translation
transliterate,transliteration
transmogrify,transmogrification
transmute,transmutation
transpire,transpiration
transplant,transplant
transplant,transplantation
transport,transport
transport,transportation
transpose,transposition
trap,trapping
traumatize,trauma
travel,travel
travel,traveling
treasure,treasure
treat,treatment
agree,treaty
trend,trend
worry,trepidation
trespass,trespass
organize,triage
try,trial
complement,tribute
trick,trick
trick,trickery
commemorate,triennial
trigger,triggering
travel,trip
triumph,triumph
award,trophy
trouble,trouble
peak,trough
agree,truce
trudge,trudge
trust,trust
meet,tryst
price,tuition
tumble,tumble
disagree,tumult
tune,tuning
turn,turn
excite,turn-on
reverse,turnabout
reverse,turnaround
twist,twist
ulcerate,ulceration
demand,ultimatum
ululate,ululation
unite,umbrella
ban,unbanning
uncover,uncovering
underestimate,underestimation
underexpose,underexposure
support,undergirding
underpay,underpayment
underpin,underpinning
agree,understanding
understand,understanding
understate,understatement
subscription,undersubscription
undertake,undertaking
undervalue,undervaluation
underwrite,underwriting
undulate,undulation
unify,unification
unite,unity
unload,unloading
unravel,unraveling
disturb,unrest
unsettle,unsettlement
unveil,unveiling
increase,up
inform,update
update,update
update,updating
upgrade,upgrade
upgrade,upgrading
anger,uproar
change,ups-and-down
upset,upset
surge,upsurge
increase,uptick
increase,uptrend
increase,upturn
urbanize,urbanization
urge,urge
urge,urging
use,usability
use,usage
usurp,usurpation
use,utility
utilize,utilization
utter,utterance
vacation,vacation
vaccinate,vaccination
vacillate,vacillation
value,valuation
control,valve
vaporize,vaporization
vary,variable
vary,variance
vary,variation
vary,variety
vegetate,vegetation
feud,vendetta
venerate,veneration
revenge,vengeance
ventilate,ventilation
undertake,venture
venture,venture
award,verdict
vote,verdict
verge,verge
verify,verification
vest,vestment
veto,veto
vex,vexation
vibrate,vibration
vary,vicissitude
victimize,victimization
win,victory
think,view
aim,view
view,view
opine,viewpoint
watch,vigil
vilify,vilification
vindicate,vindication
violate,violation
permit,visa
see,vision
visit,visit
visit,visitation
visit,visiting
visualize,visualization
vituperate,vituperation
vivisect,vivisection
vociferate,vociferation
decide,voice
voice,voice
volley,volley
volunteer,volunteerism
vote,vote
vote,voting
vow,vow
voyage,voyage
vulcanize,vulcanization
vulgarize,vulgarization
waffle,waffle
earn,wage
wager,wager
waive,waiver
follow,wake
walk,walk
strike,walkout
war,warfare
prepare,warm-up
warm,warming
like,warmth
warn,warning
warrant,warrant
guarantee,warranty
warrant,warranty
wash,wash
waste,wastage
waste,waste
waste,wasting
watch,watch
agitate,wave
trend,wave
weaken,weakening
weave,weaving
wed,wedding
separate,wedge
emphasize,weight
weight,weighting
welcome,welcome
westernize,westernization
locate,whereabouts
desire,whim
whimper,whimper
defeat,whipping
whip,whipping
whisper,whisper
gloss,whitewash
whitewash,whitewash
behave,whoring
whore,whoring
widen,widening
will,will
win,win
discover,wind
earn,windfall
view,window
tap,wiretap
wiretap,wiretap
wish,wish
withdraw,withdrawal
wonder,wonder
wonder,wonderment
woo,wooing
communicate,word
exist,work
work,work
worry,worry
worsen,worsening
worship,worship
worth,worth
wound,wound
wrangle,wrangling
anger,wrath
wreck,wreck
wreck,wreckage
bar,wrinkle
write,writing
do,wrongdoing
desire,yearning
yearn,yearning
yield,yield
control,yoke
